Player,PB,All-Pro,MVP,SB_Wins,Yds,From,To,Age_Start,Age_End,GS,Cmp,Att,Inc,Cmp%,Yds.1,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds.2,Sk%,Y/A,AY/A,ANY/A,Y/C,Y/G,Succ%,W,L,T,4QC,GWD,MVP,SB_Wins,P_Yds,P_G,P_GS,P_Cmp,P_Att,P_Inc,P_Cmp%,P_Yds.1,P_TD,P_Int,P_Pick6,P_TD%,P_Int%,P_Rate,P_Sk,P_Yds.2,P_Sk%,P_Y/A,P_AY/A,P_ANY/A,P_Y/C,P_Y/G,P_Succ%,P_W,P_L,P_4QC,P_GWD,HOF
Tony Romo,4,0,0,0,34183,2004,2016,24,36,127,2829,4335,1506,65.3,34183,248,117,13,5.7,2.7,97.1,248,1672,5.41,7.9,7.81,7.03,12.1,219.1,50.2,78,49,0,24,29,0,0,1316,6,6,114,185,71,61.6,1316,8,2,0,4.3,1.1,93,22,170,10.63,7.1,7.49,5.87,11.5,219.3,42.5,2,4,1,1,0
John Hadl,6,1,0,0,33503,1962,1977,22,37,167,2363,4687,2324,50.4,33503,244,268,13,5.2,5.7,67.4,284,2595,5.71,7.1,5.62,4.77,14.2,149.6,,82,75,9,15,15,0,0,436,4,2,28,67,39,41.8,436,1,4,0,1.5,6,44.1,8,64,10.67,6.5,4.12,2.83,15.6,109,,0,2,0,0,0
Phil Simms,2,0,0,1,33462,1979,1993,24,38,159,2576,4647,2071,55.4,33462,199,157,13,4.3,3.4,78.5,477,3418,9.31,7.2,6.54,5.26,13,204,41.9,95,64,0,11,17,0,1,1679,10,10,157,279,122,56.3,1679,10,6,0,3.6,2.2,77,30,208,9.71,6,5.77,4.53,10.7,167.9,38.5,6,4,0,0,0
Steve Young,7,3,2,2,33124,1985,1999,24,38,143,2667,4149,1482,64.3,33124,232,107,4,5.6,2.6,96.8,358,2055,7.94,8,7.94,6.85,12.4,196,48.7,94,49,0,13,16,2,2,3326,22,14,292,471,179,62,3326,20,13,0,4.2,2.8,85.8,26,128,5.23,7.1,6.67,6.06,11.4,151.2,47.7,8,6,1,1,1
Y.A. Tittle,7,3,1,0,33070,1948,1964,22,38,154,2427,4395,1968,55.2,33070,242,248,9,5.5,5.6,74.3,167,3571,7.66,7.5,6.09,5.82,13.6,162.1,,78,50,5,24,23,1,0,874,5,4,70,157,87,44.6,874,4,14,0,2.5,8.9,33.8,8,73,5.97,5.6,2.06,0.76,12.5,174.8,,0,4,0,0,1
Troy Aikman,6,0,0,3,32942,1989,2000,23,34,165,2898,4715,1817,61.5,32942,165,141,11,3.5,3,81.6,259,1748,5.21,7,6.34,5.66,11.4,199.6,45.5,94,71,0,15,20,0,3,3849,16,15,320,502,182,63.7,3849,23,17,1,4.6,3.4,88.3,34,218,6.34,7.7,7.06,6.21,12,240.6,50,11,4,1,1,1
Ken Anderson,4,1,1,0,32838,1971,1986,22,37,172,2654,4475,1821,59.3,32838,197,160,8,4.4,3.6,81.9,398,2875,8.17,7.3,6.61,5.48,12.4,171,46.6,91,81,0,10,14,1,0,1321,6,6,110,166,56,66.3,1321,9,6,1,5.4,3.6,93.5,21,116,11.23,8,7.42,5.96,12,220.2,56,2,4,0,1,0
Kurt Warner,4,2,2,1,32344,1998,2009,27,38,116,2666,4070,1404,65.5,32344,208,128,15,5.1,3.1,93.7,260,1669,6,7.9,7.55,6.71,12.1,260.8,49.7,67,49,0,7,11,2,1,3952,13,13,307,462,155,66.5,3952,31,14,2,6.7,3,102.8,19,116,3.95,8.6,8.53,7.95,12.9,304,52.4,9,4,2,3,1
Sonny Jurgensen,5,1,0,0,32224,1957,1974,23,40,147,2433,4262,1829,57.1,32224,255,189,15,6,4.4,82.6,294,2541,6.59,7.6,6.76,5.81,13.2,147.8,,69,71,7,18,14,0,0,78,4,0,6,12,6,50,78,0,3,1,0,25,31.2,1,8,7.69,6.5,-4.75,-5,13,19.5,,,,0,0,1
Mark Brunell,3,0,0,0,32072,1994,2011,24,41,151,2761,4640,1879,59.5,32072,184,108,14,4,2.3,84,390,2395,7.75,6.9,6.66,5.67,11.6,166.2,44,78,73,0,16,22,0,0,1833,14,10,156,307,151,50.8,1833,11,11,1,3.6,3.6,66.3,19,102,5.83,6,5.07,4.47,11.8,130.9,36.8,5,5,1,1,0
