Player,PB,All-Pro,MVP,SB_Wins,Yds,From,To,Age_Start,Age_End,GS,Cmp,Att,Inc,Cmp%,Yds.1,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds.2,Sk%,Y/A,AY/A,ANY/A,Y/C,Y/G,Succ%,W,L,T,4QC,GWD,MVP,SB_Wins,P_Yds,P_G,P_GS,P_Cmp,P_Att,P_Inc,P_Cmp%,P_Yds.1,P_TD,P_Int,P_Pick6,P_TD%,P_Int%,P_Rate,P_Sk,P_Yds.2,P_Sk%,P_Y/A,P_AY/A,P_ANY/A,P_Y/C,P_Y/G,P_Succ%,P_W,P_L,P_4QC,P_GWD,HOF
Tony Banks,0,0,0,0,15315,1996,2005,23,32,78,1278,2356,1078,54.2,15315,77,73,7,3.3,3.1,72.4,227,1432,8.79,6.5,5.76,4.7,12,159.5,39.1,35,43,0,5,7,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,,0,,,,0,0,0
Kordell Stewart,1,0,0,0,14746,1995,2005,23,33,87,1316,2358,1042,55.8,14746,77,84,7,3.3,3.6,70.7,170,1048,6.72,6.3,5.3,4.53,11.2,118,40.5,50,34,0,9,14,0,0,744,9,4,69,142,73,48.6,744,2,8,0,1.4,5.6,45.6,11,34,7.19,5.2,2.99,2.55,10.8,82.7,39.2,2,2,0,0,0
Doug Flutie,1,0,0,0,14715,1986,2005,24,43,66,1177,2151,974,54.7,14715,86,68,1,4,3.2,76.3,107,687,4.74,6.8,6.22,5.62,12.5,159.9,42.7,38,28,0,8,10,0,0,494,2,2,32,67,35,47.8,494,2,3,0,3,4.5,63.9,4,28,5.63,7.4,5.96,5.23,15.4,247,39.4,0,2,0,0,0
Joey Harrington,0,0,0,0,14693,2002,2007,24,29,76,1424,2538,1114,56.1,14693,79,85,14,3.1,3.3,69.4,124,770,4.66,5.8,4.9,4.39,10.3,181.4,39.3,26,50,0,6,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
David Carr,0,0,0,0,14452,2002,2012,23,33,79,1353,2267,914,59.7,14452,65,71,7,2.9,3.1,74.9,267,1564,10.54,6.4,5.54,4.34,10.7,153.7,41.2,23,56,0,7,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Bubby Brister,0,0,0,0,14445,1986,2000,24,38,75,1207,2212,1005,54.6,14445,81,78,7,3.7,3.5,72.3,193,1625,8.02,6.5,5.68,4.54,12,145.9,39.6,37,38,0,9,11,0,0,356,6,2,34,62,28,54.8,356,1,0,0,1.6,0,77.1,1,15,1.59,5.7,6.06,5.73,10.5,59.3,42.9,1,1,1,1,0
Marc Wilson,0,0,0,0,14391,1980,1990,23,33,60,1085,2081,996,52.1,14391,86,102,2,4.1,4.9,67.7,210,1510,9.17,6.9,5.54,4.37,13.3,114.2,41.2,32,28,0,9,12,0,0,135,7,1,11,27,16,40.7,135,1,3,0,3.7,11.1,29.6,2,11,6.9,5,0.74,0.31,12.3,19.3,27.6,0,1,0,0,0
Bill Nelsen,1,0,0,0,14165,1963,1972,22,31,74,963,1905,942,50.6,14165,98,101,10,5.1,5.3,70.2,146,1314,7.12,7.4,6.08,5.01,14.7,157.4,,40,31,3,8,8,0,0,839,6,5,68,132,64,51.5,839,3,8,0,2.3,6.1,53.8,12,103,8.33,6.4,4.08,3.03,12.3,139.8,,2,3,0,0,0
Josh Freeman,0,0,0,0,13873,2009,2015,21,27,61,1179,2048,869,57.6,13873,81,68,6,4,3.3,77.6,112,690,5.19,6.8,6.07,5.44,11.8,223.8,42.3,25,36,0,9,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Sid Luckman,3,5,0,0,13850,1940,1950,24,34,59,859,1643,784,52.3,13850,131,125,0,8,7.6,75.7,,208,,8.4,6.6,,16.1,130.7,,,,,3,4,0,0,721,6,4,45,85,40,52.9,721,7,4,0,8.2,4.7,89.4,3,33,3.41,8.5,8.01,7.36,16,120.2,,3,1,0,1,1
Gary Danielson,0,0,0,0,13764,1976,1988,25,37,60,1105,1932,827,57.2,13764,81,78,4,4.2,4,76.6,183,1446,8.65,7.1,6.15,4.93,12.5,136.3,42.2,28,31,1,5,11,0,0,236,1,1,24,38,14,63.2,236,0,5,0,0,13.2,41,2,12,5,6.2,0.29,-0.03,9.8,236,52.5,0,1,0,0,0
Sammy Baugh,1,0,0,0,13507,1944,1952,30,38,50,1014,1766,752,57.4,13507,107,110,5,6.1,6.2,76,,443,,7.6,6.06,,13.3,142.2,,11,10,0,4,10,0,0,7,1,0,1,6,5,16.7,7,0,0,0,0,0,39.6,0,0,0,1.2,1.17,1.17,7,7,,,,0,0,1
Eddie LeBaron,4,0,0,0,13399,1952,1963,22,33,88,898,1796,898,50,13399,104,141,10,5.8,7.9,61.4,59,1404,7.86,7.5,5.09,4.48,14.9,100,,28,54,3,13,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Bill Munson,0,0,0,0,12896,1964,1979,23,38,66,1070,1982,912,54,12896,84,80,3,4.2,4,71.5,192,1409,8.83,6.5,5.54,4.4,12.1,120.5,50,27,34,5,8,8,0,0,44,2,0,2,8,6,25,44,0,1,0,0,12.5,10.4,0,0,0,5.5,-0.13,-0.13,22,22,,,,0,0,0
Don Majkowski,1,0,0,0,12700,1987,1996,23,32,57,1056,1905,849,55.4,12700,66,67,8,3.5,3.5,72.9,180,1058,8.63,6.7,5.78,4.77,12,141.1,41,26,30,1,10,13,0,0,206,1,0,14,23,9,60.9,206,3,2,1,13,8.7,93.5,0,0,0,9,7.65,7.65,14.7,206,60.9,,,0,0,0
Colin Kaepernick,0,0,0,0,12271,2011,2016,24,29,58,1011,1692,681,59.8,12271,72,30,3,4.3,1.8,88.9,171,1060,9.18,7.3,7.31,6.07,12.1,177.8,42.4,28,30,0,7,7,0,0,1374,6,6,94,162,68,58,1374,7,5,1,4.3,3.1,87.3,11,58,6.36,8.5,7.96,7.12,14.6,229,46.8,4,2,2,2,0
Rick Mirer,0,0,0,0,11969,1993,2003,23,33,68,1088,2043,955,53.3,11969,50,76,3,2.4,3.7,63.5,199,1038,8.88,5.9,4.67,3.8,11,149.6,37.7,24,44,0,8,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Tom Flores,1,0,0,0,11959,1960,1969,23,32,64,838,1715,877,48.9,11959,93,92,5,5.4,5.4,67.6,175,1576,9.26,7,5.64,4.29,14.3,112.8,,31,33,4,9,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Bob Waterfield,2,3,0,0,11849,1945,1952,25,32,55,814,1617,803,50.3,11849,97,128,5,6,7.9,61.6,,255,,7.3,4.97,,14.6,130.2,,14,8,0,7,6,0,0,965,6,3,63,125,62,50.4,965,6,11,0,4.8,8.8,55.6,0,0,0,7.7,4.72,5.26,15.3,160.8,,1,2,0,0,1
Jay Fiedler,0,0,0,0,11844,1995,2005,24,34,60,1008,1717,709,58.7,11844,69,66,8,4,3.8,77.1,114,734,6.23,6.9,5.97,5.2,11.8,155.8,43.3,37,23,0,8,9,0,0,655,5,3,59,110,51,53.6,655,3,8,1,2.7,7.3,50.4,7,38,5.98,6,3.23,2.71,11.1,131,39.3,1,2,1,1,0
Cotton Davidson,2,0,0,0,11760,1954,1968,23,37,58,770,1752,982,43.9,11760,73,108,5,4.2,6.2,54.9,110,945,6.13,6.7,4.77,4.11,15.3,105.9,,19,33,1,5,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Vince Ferragamo,0,0,0,0,11336,1977,1986,23,32,53,902,1615,713,55.9,11336,76,91,5,4.7,5.6,70.1,94,770,5.5,7,5.42,4.68,12.6,151.1,42.1,27,26,0,5,5,0,0,1227,7,6,92,188,96,48.9,1227,8,11,2,4.3,5.9,59.9,13,112,6.47,6.5,4.74,3.88,13.3,175.3,35.8,3,3,1,1,0
Mike Livingston,1,0,0,0,11295,1968,1979,23,34,75,912,1751,839,52.1,11295,56,83,4,3.2,4.7,63.3,152,1392,7.99,6.5,4.96,3.83,12.4,124.1,37.5,31,43,1,6,7,0,0,0,1,0,0,0,0,,0,0,,0,,,,,,,,,,,0,,,,0,0,0
Tony Eason,0,0,0,0,11142,1983,1990,24,31,51,911,1564,653,58.2,11142,61,51,3,3.9,3.3,79.7,177,1350,10.17,7.1,6.44,5.01,12.2,123.8,44.4,28,23,0,7,8,0,0,561,5,5,42,72,30,58.3,561,7,0,0,9.7,0,115.6,15,119,17.24,7.8,9.74,6.69,13.4,112.2,36.8,3,2,0,0,0
Tim Couch,0,0,0,0,11131,1999,2003,22,26,59,1025,1714,689,59.8,11131,64,67,8,3.7,3.9,75.1,166,1119,8.83,6.5,5.48,4.4,10.9,179.5,38.2,22,37,0,10,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Charlie Batch,0,0,0,0,11085,1998,2012,24,38,55,908,1604,696,56.6,11085,61,52,3,3.8,3.2,77.2,161,890,9.12,6.9,6.21,5.14,12.2,136.9,39.9,25,30,0,9,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Derek Anderson,1,0,0,0,10878,2006,2018,23,35,49,909,1674,765,54.3,10878,60,64,9,3.6,3.8,70.4,81,563,4.62,6.5,5.49,4.92,12,139.5,42.3,20,29,0,5,7,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,,0,,,,0,0,0
Frankie Albert,1,0,0,0,10795,1946,1952,26,32,69,831,1564,733,53.1,10795,115,98,3,7.4,6.3,73.5,43,1096,5.32,6.9,5.55,5.86,13,119.9,,13,16,1,5,7,0,0,204,2,2,17,41,24,41.5,204,2,2,0,4.9,4.9,53.3,4,39,8.89,5,3.76,2.56,12,102,,1,1,0,0,0
Billy Joe Tolliver,0,0,0,0,10760,1989,1999,23,33,47,891,1707,816,52.2,10760,59,64,5,3.5,3.7,67.7,125,877,6.82,6.3,5.31,4.47,12.1,136.2,39,15,32,0,5,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Eric Hipple,0,0,0,0,10711,1980,1989,23,32,57,830,1546,716,53.7,10711,55,70,6,3.6,4.5,68.7,160,1188,9.38,6.9,5.6,4.38,12.9,105,39.4,28,29,0,4,4,0,0,298,1,1,22,38,16,57.9,298,1,2,1,2.6,5.3,69.8,4,29,9.52,7.8,6,4.74,13.5,298,40.5,0,1,0,0,0
Byron Leftwich,0,0,0,0,10532,2003,2012,23,32,50,930,1605,675,57.9,10532,58,42,3,3.6,2.6,78.9,92,452,5.42,6.6,6.11,5.51,11.3,175.5,41.8,24,26,0,7,10,0,0,179,2,1,18,32,14,56.3,179,0,1,1,0,3.1,59.2,4,30,11.11,5.6,4.19,2.89,9.9,89.5,33.3,0,1,0,0,0
Mike Phipps,0,0,0,0,10506,1970,1981,23,34,71,886,1799,913,49.2,10506,55,108,2,3.1,6,52.6,172,1514,8.73,5.8,3.75,2.65,11.9,88.3,36.3,38,31,2,12,12,0,0,300,3,2,25,59,34,42.4,300,1,7,0,1.7,11.9,24.6,4,14,6.35,5.1,0.08,-0.14,12,100,32.3,0,2,0,0,0
George Ratterman,0,0,0,0,10473,1947,1956,21,30,46,737,1396,659,52.8,10473,91,96,2,6.5,6.9,70.4,29,572,3.37,7.5,5.71,5.19,14.2,113.8,,9,8,1,3,3,0,0,470,6,2,37,76,39,48.7,470,6,6,0,7.9,7.9,61.8,3,48,3.85,6.2,4.21,3.42,12.7,78.3,,0,2,0,0,0
Steve Bono,1,0,0,0,10439,1985,1999,23,37,42,934,1701,767,54.9,10439,62,42,4,3.6,2.5,75.3,76,565,4.28,6.1,5.75,5.19,11.2,118.6,41.2,28,14,0,6,5,0,0,137,5,1,13,27,14,48.1,137,1,3,0,3.7,11.1,36.1,0,0,0,5.1,0.81,0.81,10.5,27.4,33.3,0,1,0,0,0
Zeke Bratkowski,0,0,0,2,10345,1954,1971,23,40,44,762,1484,722,51.3,10345,65,122,8,4.4,8.2,54.3,94,1073,7.73,7,4.15,3.27,13.6,78.4,,18,30,1,5,7,0,2,248,5,0,22,40,18,55,248,0,2,0,0,5,52.9,2,18,4.76,6.2,3.95,3.33,11.3,49.6,,,,1,1,0
Frank Tripucka,1,0,0,0,10282,1949,1963,22,36,54,879,1745,866,50.4,10282,69,124,12,4,7.1,52.2,63,1048,4.7,5.9,3.49,3.17,11.7,137.1,,17,34,1,8,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Dave Brown,0,0,0,0,10248,1992,2001,22,31,60,892,1634,742,54.6,10248,44,58,6,2.7,3.5,67.9,181,1005,9.97,6.3,5.21,4.14,11.5,140.4,38.6,26,34,0,2,4,0,0,56,1,0,6,10,4,60,56,0,1,0,0,10,35.8,0,0,0,5.6,1.1,1.1,9.3,56,50,,,0,0,0
Jack Trudeau,0,0,0,0,10243,1986,1995,24,33,49,873,1644,771,53.1,10243,42,69,4,2.6,4.2,63.3,103,717,5.9,6.2,4.85,4.16,11.7,152.9,40.6,19,30,0,10,10,0,0,251,1,1,21,33,12,63.6,251,2,1,0,6.1,3,94.4,2,14,5.71,7.6,7.45,6.63,12,251,51.4,0,1,0,0,0
Rex Grossman,0,0,0,0,10232,2003,2011,23,31,47,863,1562,699,55.2,10232,56,60,5,3.6,3.8,71.4,92,698,5.56,6.6,5.54,4.81,11.9,189.5,41.1,25,22,0,6,9,0,0,783,4,4,69,133,64,51.9,783,4,4,1,3,3,67.3,5,49,3.62,5.9,5.14,4.59,11.3,195.8,34.1,2,2,1,1,0
Mark Malone,0,0,0,0,10175,1980,1989,22,31,54,839,1648,809,50.9,10175,60,81,3,3.6,4.9,61.9,86,671,4.96,6.2,4.69,4.07,12.1,139.4,40.5,23,30,0,4,7,0,0,558,3,2,40,71,31,56.3,558,4,3,0,5.6,4.2,83,2,12,2.74,7.9,7.08,6.73,14,186,52.1,1,1,0,1,0
Vince Evans,0,0,0,0,9485,1977,1995,22,40,39,704,1390,686,50.6,9485,52,74,6,3.7,5.3,63,118,904,7.82,6.8,5.18,4.17,13.5,94.9,36.4,14,25,0,3,5,0,0,26,1,0,2,8,6,25,26,0,1,0,0,12.5,1,0,0,0,3.3,-2.38,-2.38,13,26,25,,,0,0,0
Lamar McHan,0,0,0,0,9449,1954,1963,22,31,71,610,1442,832,42.3,9449,73,108,4,5.1,7.5,50.3,23,893,7.08,6.6,4.19,2.96,15.5,83.6,,24,44,2,6,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Gary Hogeboom,0,0,0,0,9436,1980,1989,22,31,37,743,1325,582,56.1,9436,49,60,9,3.7,4.5,71.9,118,890,8.18,7.1,5.82,4.73,12.7,119.4,41.2,18,19,0,4,6,0,0,162,1,0,14,29,15,48.3,162,2,2,1,6.9,6.9,59.8,0,0,0,5.6,3.86,3.86,11.6,162,44.8,,,0,0,0
Bobby Thomason,3,0,0,0,9430,1951,1957,23,29,45,681,1334,653,51,9430,68,89,3,5.1,6.7,63.3,,892,,7.1,5.09,,13.8,119.4,,18,24,2,4,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Mike Pagel,0,0,0,0,9414,1982,1993,22,33,54,756,1509,753,50.1,9414,49,63,4,3.2,4.2,63.3,115,837,7.08,6.2,5.01,4.14,12.5,71.3,38.8,17,36,1,6,8,0,0,179,5,0,17,25,8,68,179,2,1,0,8,4,98.6,0,0,0,7.2,6.96,6.96,10.5,35.8,48,,,0,0,0
Tommy Thompson,1,0,0,0,9349,1941,1950,25,34,41,651,1265,614,51.5,9349,84,89,1,6.6,7,68.6,,415,,7.4,5.55,,14.4,133.6,,6,6,0,2,5,0,0,503,4,3,45,82,37,54.9,503,4,7,0,4.9,8.5,54.1,0,25,0,6.1,3.27,5.38,11.2,125.8,,3,0,0,1,0
Pat Haden,1,0,0,0,9296,1976,1981,23,28,55,731,1363,632,53.6,9296,52,60,1,3.8,4.4,69.6,115,888,7.78,6.8,5.6,4.57,12.7,143,39.6,35,19,1,5,8,0,0,728,5,5,55,123,68,44.7,728,4,12,0,3.3,9.8,35.3,9,76,6.82,5.9,2.18,1.45,13.2,145.6,44,2,3,1,1,0
Robert Griffin III,1,0,0,0,9271,2012,2020,22,30,42,799,1268,469,63,9271,43,30,3,3.4,2.4,86.5,131,895,9.36,7.3,6.93,5.64,11.6,165.6,43.1,16,26,0,4,5,0,0,84,1,1,10,19,9,52.6,84,2,1,0,10.5,5.3,77.5,2,16,9.52,4.4,4.16,3,8.4,84,33.3,0,1,0,0,0
Bob Berry,1,0,0,0,9197,1965,1975,23,33,52,661,1173,512,56.4,9197,64,64,4,5.5,5.5,77.2,193,1393,14.13,7.8,6.48,4.54,13.9,117.9,,20,29,3,4,5,0,0,0,1,0,0,0,0,,0,0,,0,,,,,,,,,,,0,,,,0,0,0
Vince Young,2,0,0,0,8964,2006,2011,23,28,50,755,1304,549,57.9,8964,46,51,3,3.5,3.9,74.4,83,449,5.98,6.9,5.82,5.15,11.9,149.4,41.8,31,19,0,7,13,0,0,138,1,1,16,29,13,55.2,138,0,1,0,0,3.4,53.5,3,9,9.38,4.8,3.21,2.63,8.6,138,40.6,0,1,0,0,0
Kyle Boller,0,0,0,0,8931,2003,2011,22,30,47,861,1519,658,56.7,8931,48,54,6,3.2,3.6,69.5,123,802,7.49,5.9,4.91,4.06,10.4,133.3,38.3,20,27,0,4,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
John Friesz,0,0,0,0,8699,1990,2000,23,33,38,745,1364,619,54.6,8699,45,42,3,3.3,3.1,72.3,74,487,5.15,6.4,5.65,5.02,11.7,126.1,41,13,25,0,7,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
David Woodley,0,0,0,0,8558,1980,1985,22,27,53,687,1300,613,52.8,8558,48,63,6,3.7,4.8,65.7,84,631,6.07,6.6,5.14,4.37,12.5,147.6,38.8,34,18,1,3,5,0,0,645,5,5,48,81,33,59.3,645,5,6,0,6.2,7.4,74.4,11,101,11.96,8,5.86,4.07,13.4,129,45.7,3,2,0,0,0
Rudy Bukich,0,0,0,0,8433,1953,1968,23,38,42,626,1190,564,52.6,8433,61,74,8,5.1,6.2,66.6,88,928,7.59,7.1,5.31,4.72,13.5,81.9,,21,17,3,7,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Randy Johnson,0,0,0,0,8329,1966,1976,22,32,49,647,1286,639,50.3,8329,51,90,7,4,7,55.1,152,1302,10.57,6.5,4.12,2.78,12.9,111.1,,10,38,1,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Shaun Hill,0,0,0,0,8295,2005,2016,25,36,35,757,1225,468,61.8,8295,49,30,3,4,2.4,84.9,84,533,6.42,6.8,6.47,5.65,11,169.3,45.5,17,18,0,4,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pete Beathard,0,0,0,0,8176,1964,1973,22,31,36,575,1282,707,44.9,8176,43,84,5,3.4,6.6,49.9,87,801,6.36,6.4,4.1,3.25,14.2,74.3,,18,16,1,2,1,0,0,368,3,2,34,86,52,39.5,368,2,4,1,2.3,4.7,41.2,11,92,11.34,4.3,2.65,1.4,10.8,122.7,,0,2,0,0,0
James Harris,1,0,0,0,8136,1969,1979,22,32,41,607,1149,542,52.8,8136,45,59,1,3.9,5.1,67.3,101,874,8.08,7.1,5.55,4.41,13.4,98,34.6,25,16,0,6,9,0,0,343,4,3,21,49,28,42.9,343,2,5,0,4.1,10.2,41,2,29,3.92,7,3.22,2.53,16.3,85.8,,1,2,0,1,0
Tommy Maddox,0,0,0,0,8087,1992,2005,21,34,36,686,1200,514,57.2,8087,48,54,7,4,4.5,72.4,94,541,7.26,6.7,5.51,4.7,11.8,87.9,42.3,15,20,1,2,3,0,0,667,3,2,54,96,42,56.3,667,5,3,0,5.2,3.1,82.2,4,33,4,6.9,6.58,5.99,12.4,222.3,48,1,1,1,1,0
Jim Finks,1,0,0,0,8064,1952,1955,25,28,45,618,1278,660,48.4,8064,52,78,7,4.1,6.1,56.8,,544,,6.3,4.38,,13,171.6,,18,27,0,6,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Steve Walsh,0,0,0,0,7875,1989,1999,23,33,38,713,1317,604,54.1,7875,40,50,7,3,3.8,66.4,40,274,2.95,6,4.88,4.53,11,98.4,42.4,20,18,0,4,9,0,0,373,6,3,32,59,27,54.2,373,2,4,0,3.4,6.8,56.7,2,16,3.28,6.3,3.95,3.56,11.7,62.2,37.7,1,2,0,0,0
Kent Graham,0,0,0,0,7801,1992,2001,24,33,38,694,1339,645,51.8,7801,39,33,3,2.9,2.5,69,100,679,6.95,5.8,5.3,4.46,11.2,96.3,37.7,17,21,0,8,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Al Dorow,2,0,0,0,7708,1954,1962,25,33,45,572,1207,635,47.4,7708,64,93,4,5.3,7.7,53.8,77,922,7.81,6.4,3.98,3.22,13.5,111.7,,19,26,0,5,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Craig Erickson,0,0,0,0,7625,1992,1997,23,28,36,591,1092,501,54.1,7625,41,38,4,3.8,3.5,74.3,82,535,6.98,7,6.17,5.28,12.9,146.6,39.9,14,21,0,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Matt Moore,0,0,0,0,7597,2007,2019,23,35,32,645,1074,429,60.1,7597,49,36,4,4.6,3.4,82.8,87,606,7.49,7.1,6.48,5.47,11.8,138.1,43.2,16,16,0,6,8,0,0,289,1,1,29,36,7,80.6,289,1,1,0,2.8,2.8,97.8,5,36,12.2,8,7.33,5.56,10,289,48.8,0,1,0,0,0
Brock Osweiler,0,0,0,0,7418,2012,2018,22,28,30,697,1165,468,59.8,7418,37,31,0,3.2,2.7,78,79,559,6.35,6.4,5.81,4.99,10.6,151.4,42.7,15,15,0,5,5,0,0,365,2,2,37,65,28,56.9,365,2,3,0,3.1,4.6,63.9,3,17,4.41,5.6,4.15,3.72,9.9,182.5,35.3,1,1,0,0,0
