Name,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,HOF
Mark Malone,73.0,54.0,23-30-0,839.0,1648.0,50.9,10175.0,60.0,3.6,81.0,4.9,514.0,40.5,63.0,6.2,4.69,12.1,139.4,61.9,86.0,671.0,4.96,5.48,4.07,4.0,7.0,30.0,0
Vince Evans,100,39,14-25-0,704,1390,50.6,9485,52,3.7,74,5.3,403,36.4,89,6.8,5.18,13.5,94.9,63.0,118,904,7.82,5.69,4.17,3,5,34,0
Lamar McHan,113.0,70.0,24-44-2,610.0,1442.0,42.3,9449.0,73.0,5.1,108.0,7.5,,,83.0,6.6,4.19,15.5,83.6,50.3,23.0,893.0,7.08,5.84,2.96,6.0,6.0,9.0,0
Gary Hogeboom,79.0,37.0,18-19-0,743.0,1325.0,56.1,9436.0,49.0,3.7,60.0,4.5,450.0,41.2,72.0,7.1,5.82,12.7,119.4,71.9,118.0,890.0,8.18,5.92,4.73,4.0,6.0,24.0,0
Mike Pagel,132.0,54.0,17-36-1,756.0,1509.0,50.1,9414.0,49.0,3.2,63.0,4.2,437.0,38.8,80.0,6.2,5.01,12.5,71.3,63.3,115.0,837.0,7.08,5.28,4.14,6.0,8.0,32.0,0
Pat Haden,65,55,35-19-1,731,1363,53.6,9296,52,3.8,60,4.4,325.0,39.6,68,6.8,5.6,12.7,143.0,69.6,115,888,7.78,5.69,4.57,5,8,36,0
Bob Berry,78.0,52.0,20-29-3,661.0,1173.0,56.4,9197.0,64.0,5.5,64.0,5.5,,,88.0,7.8,6.48,13.9,117.9,77.2,193.0,1393.0,14.13,5.71,4.54,4.0,5.0,42.0,0
Vince Young,60.0,50.0,31-19-0,755.0,1304.0,57.9,8964.0,46.0,3.5,51.0,3.9,447.0,41.8,73.0,6.9,5.82,11.9,149.4,74.4,83.0,449.0,5.98,6.14,5.15,7.0,13.0,36.0,0
Kyle Boller,67.0,47.0,20-27-0,861.0,1519.0,56.7,8931.0,48.0,3.2,54.0,3.6,442.0,38.3,77.0,5.9,4.91,10.4,133.3,69.5,123.0,802.0,7.49,4.95,4.06,4.0,6.0,17.0,0
John Friesz,69.0,38.0,13-25-0,745.0,1364.0,54.6,8699.0,45.0,3.3,42.0,3.1,423.0,41.0,81.0,6.4,5.65,11.7,126.1,72.3,74.0,487.0,5.15,5.71,5.02,7.0,7.0,28.0,0
Jim Finks,79,66,18-27-0,661,1382,47.8,8622,55,4.0,88,6.4,,,78,6.2,4.17,13.0,109.1,54.7,,572.0,,,,8,9,,1
David Woodley,58.0,53.0,34-18-1,687.0,1300.0,52.8,8558.0,48.0,3.7,63.0,4.8,393.0,38.8,80.0,6.6,5.14,12.5,147.6,65.7,84.0,631.0,6.07,5.73,4.37,3.0,5.0,37.0,0
Rudy Bukich,103.0,41.0,21-17-3,626.0,1190.0,52.6,8433.0,61.0,5.1,74.0,6.2,,,88.0,7.1,5.31,13.5,81.9,66.6,88.0,928.0,7.59,5.87,4.72,7.0,5.0,32.0,0
Randy Johnson,75.0,49.0,10-38-1,647.0,1286.0,50.3,8329.0,51.0,4.0,90.0,7.0,,,82.0,6.5,4.12,12.9,111.1,55.1,152.0,1302.0,10.57,4.89,2.78,2.0,2.0,28.0,0
Shaun Hill,49.0,35.0,17-18-0,757.0,1225.0,61.8,8295.0,49.0,4.0,30.0,2.4,382.0,45.5,75.0,6.8,6.47,11.0,169.3,84.9,84.0,533.0,6.42,5.93,5.65,4.0,5.0,24.0,0
Pete Beathard,110.0,35.0,18-16-1,575.0,1282.0,44.9,8176.0,43.0,3.4,84.0,6.6,,,86.0,6.4,4.1,14.2,74.3,49.9,87.0,801.0,6.36,5.39,3.25,2.0,1.0,31.0,0
Tommy Maddox,92.0,36.0,15-20-1,686.0,1200.0,57.2,8087.0,48.0,4.0,54.0,4.5,390.0,42.3,72.0,6.7,5.51,11.8,87.9,72.4,94.0,541.0,7.26,5.83,4.7,2.0,3.0,25.0,0
Steve Walsh,80.0,38.0,20-18-0,713.0,1317.0,54.1,7875.0,40.0,3.0,50.0,3.8,397.0,42.4,58.0,6.0,4.88,11.0,98.4,66.4,40.0,274.0,2.95,5.6,4.53,4.0,9.0,22.0,0
Kent Graham,81.0,38.0,17-21-0,694.0,1339.0,51.8,7801.0,39.0,2.9,33.0,2.5,382.0,37.7,87.0,5.8,5.3,11.2,96.3,69.0,100.0,679.0,6.95,4.95,4.46,8.0,9.0,23.0,0
Al Dorow,69.0,45.0,19-26-0,572.0,1207.0,47.4,7708.0,64.0,5.3,93.0,7.7,,,80.0,6.4,3.98,13.5,111.7,53.8,77.0,922.0,7.81,5.29,3.22,5.0,5.0,27.0,0
Craig Erickson,52.0,36.0,14-21-0,591.0,1092.0,54.1,7625.0,41.0,3.8,38.0,3.5,328.0,39.9,71.0,7.0,6.17,12.9,146.6,74.3,82.0,535.0,6.98,6.04,5.28,2.0,2.0,22.0,0
